[rosmaster.main][INFO] 2023-03-28 01:02:43,332: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-03-28 01:02:43,333: Starting ROS Master Node
[xmlrpc][INFO] 2023-03-28 01:02:43,335: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-03-28 01:02:43,336: Started XML-RPC server [http://unionsys-desktop:11311/]
[rosmaster.master][INFO] 2023-03-28 01:02:43,336: Master initialized: port[11311], uri[http://unionsys-desktop:11311/]
[xmlrpc][INFO] 2023-03-28 01:02:43,337: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-03-28 01:02:43,371: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-03-28 01:02:43,374: +PARAM [/roslaunch/uris/host_unionsys_desktop__42809] by /roslaunch
[rosmaster.master][INFO] 2023-03-28 01:02:43,571: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-03-28 01:02:43,572: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-03-28 01:02:43,760: +SERVICE [/rosout/get_loggers] /rosout http://unionsys-desktop:43383/
[rosmaster.master][INFO] 2023-03-28 01:02:43,762: +SERVICE [/rosout/set_logger_level] /rosout http://unionsys-desktop:43383/
[rosmaster.master][INFO] 2023-03-28 01:02:43,767: +PUB [/rosout_agg] /rosout http://unionsys-desktop:43383/
[rosmaster.master][INFO] 2023-03-28 01:02:43,777: +SUB [/rosout] /rosout http://unionsys-desktop:43383/
[rosmaster.master][INFO] 2023-03-28 01:02:45,562: +PUB [/rosout] /csi_cam http://unionsys-desktop:39115/
[rosmaster.master][INFO] 2023-03-28 01:02:45,565: +SERVICE [/csi_cam/get_loggers] /csi_cam http://unionsys-desktop:39115/
[rosmaster.master][INFO] 2023-03-28 01:02:45,566: +SERVICE [/csi_cam/set_logger_level] /csi_cam http://unionsys-desktop:39115/
[rosmaster.master][INFO] 2023-03-28 01:02:45,641: publisherUpdate[/rosout] -> http://unionsys-desktop:43383/ ['http://unionsys-desktop:39115/']
[rosmaster.master][INFO] 2023-03-28 01:02:45,646: publisherUpdate[/rosout] -> http://unionsys-desktop:43383/ ['http://unionsys-desktop:39115/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2023-03-28 01:02:45,695: +PUB [/image_raw/compressedDepth] /csi_cam http://unionsys-desktop:39115/
[rosmaster.master][INFO] 2023-03-28 01:02:45,697: +SERVICE [/image_raw/compressedDepth/set_parameters] /csi_cam http://unionsys-desktop:39115/
[rosmaster.master][INFO] 2023-03-28 01:02:45,699: +PUB [/image_raw/compressedDepth/parameter_descriptions] /csi_cam http://unionsys-desktop:39115/
[rosmaster.master][INFO] 2023-03-28 01:02:45,701: +PUB [/image_raw/compressedDepth/parameter_updates] /csi_cam http://unionsys-desktop:39115/
[rosmaster.master][INFO] 2023-03-28 01:02:45,707: +PARAM [/image_raw/compressedDepth/depth_max] by /csi_cam
[rosmaster.master][INFO] 2023-03-28 01:02:45,709: +PARAM [/image_raw/compressedDepth/depth_quantization] by /csi_cam
[rosmaster.master][INFO] 2023-03-28 01:02:45,711: +PARAM [/image_raw/compressedDepth/png_level] by /csi_cam
