[rosmaster.main][INFO] 2021-05-20 11:34:05,806: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-05-20 11:34:05,806: Starting ROS Master Node
[xmlrpc][INFO] 2021-05-20 11:34:05,810: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-05-20 11:34:05,811: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2021-05-20 11:34:05,811: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2021-05-20 11:34:05,812: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-05-20 11:34:05,879: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:05,880: +PARAM [/roslaunch/uris/host_ubuntu__34801] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:06,004: +PARAM [/mavros/mission/use_mission_item_int] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:06,006: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:06,006: +PARAM [/mavros/landing_target/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:06,006: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:06,007: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:06,007: +PARAM [/mavros/wheel_odometry/tf/send] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:06,007: +PARAM [/mavros/odometry/fcu/odom_child_id_des] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:06,007: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:06,007: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:06,007: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:06,007: +PARAM [/mavros/target_component_id] by /roslaunch
[rosmaster.master][INFO] 2021-05-20 11:34:06,007: +PARAM [/mavros/setpoint_position/tf/rate_limit] by /roslaunch
